"kilde (aktivitet)";"energiprodukt";"komponent";"år";"statistikkvariabel";"08940: Klimagasser, etter kilde (aktivitet), energiprodukt, komponent, år og statistikkvariabel"
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2002";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";504
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2003";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";516
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2004";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";544
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2005";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";549
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2006";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";620
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2007";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";684
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2008";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";739
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2009";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";819
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2010";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";894
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2011";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";965
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2012";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1028
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2013";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1118
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2014";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1081
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2015";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";964
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2016";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1006
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2017";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1029
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2018";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";996
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2019";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";935
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2020";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";809
"0 Alle kilder";"VT0 I alt";"K80 Hydrofluorkarboner (HFK)";"2021";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";679
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"1990";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";3895
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"1991";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";3457
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"1992";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";2637
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"1993";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";2648
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"1994";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";2343
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"1995";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";2314
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"1996";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";2108
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"1997";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1883
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"1998";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1712
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"1999";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1600
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"2000";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1518
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"2001";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1531
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"2002";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1659
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"2003";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1051
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"2004";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";1017
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"2005";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";955
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"2006";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";859
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"2007";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";951
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"2008";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";896
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"2009";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";438
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"2010";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";238
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"2011";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";263
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"2012";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";200
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"2013";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";181
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"2014";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";179
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"2015";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";146
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"2016";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";186
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"2017";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";131
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"2018";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";148
"0 Alle kilder";"VT0 I alt";"K90 Perfluorkarboner (PFK)";"2019";"Utslipp til luft (1 000 tonn CO2-ekvivalenter)";175
